PosX,PosY,TestItem1,TestItem2,TestItem3,TestItem4,TestItem5,TestItem6
-100,0,0.378986128,0.961629903,0.614584202,0.54236771,0.288878787,0.938091214
-99,-14,0.599165626,0.575542447,0.532987906,0.009927327,0.438416532,0.720373255
-99,-13,0.719018113,0.231643004,0.661387692,0.126851455,0.817833327,0.43012271
-99,-12,0.330868971,0.774846802,0.044785837,0.165728707,0.966055672,0.502350195
-99,-11,0.490219944,0.282056665,0.708820843,0.249679576,0.398289651,0.090100877
-99,-10,0.658232354,0.806820431,0.173938908,0.454097973,0.621238565,0.148585855
-99,-9,0.911854859,0.229353842,0.613330418,0.526034416,0.315475896,0.743762192
-99,-8,0.08977149,0.111464287,0.296066963,0.196304913,0.315405839,0.780520614
-99,-7,0.006656931,0.405208491,0.107245628,0.495029721,0.858404539,0.662361702
-99,-6,0.606185352,0.241700575,0.254909248,0.074806884,0.619671765,0.165036042
-99,-5,0.194514035,0.612227562,0.415489628,0.157813031,0.497604499,0.037228959
-99,-4,0.825242406,0.581945551,0.233567641,0.655789468,0.371798061,0.467272593
-99,-3,0.78300841,0.964243611,0.971429086,0.827475021,0.606495666,0.265507858
-99,-2,0.743064215,0.077768389,0.916771866,0.723072305,0.163777662,0.122375352
-99,-1,0.798226709,0.40544096,0.147268743,0.587797219,0.793590656,0.923404737
-99,0,0.697561916,0.768045329,0.277482221,0.007386053,0.005646518,0.483781931
-99,1,0.782382534,0.191608061,0.946183897,0.535565959,0.580793015,0.054765194
-99,2,0.636793102,0.378293729,0.92113463,0.683393808,0.473475921,0.274087836
-99,3,0.517260501,0.342663492,0.882849171,0.254796696,0.309704253,0.6512787
-99,4,0.925422214,0.414586417,0.751889043,0.282943213,0.745995678,0.350575545
-99,5,0.777803791,0.735427281,0.577152713,0.445018498,0.62843053,0.389189147
-99,6,0.966741974,0.039358176,0.431382398,0.163019122,0.188822151,0.942024993
-99,7,0.273559331,0.097043963,0.941188161,0.99043106,0.611604926,0.474886884
-99,8,0.053769199,0.559549641,0.414860539,0.366621023,0.18355003,0.174975049
-99,9,0.513712746,0.106868844,0.938843083,0.637979163,0.621946066,0.690988966
-99,10,0.454211831,0.995276321,0.632390731,0.302444628,0.136889885,0.008748164
-99,11,0.82932474,0.42291345,0.555908356,0.905340207,0.300262695,0.636522873
-99,12,0.50838154,0.763844292,0.62698207,0.079106742,0.859083534,0.791176486
-99,13,0.77855847,0.192924443,0.267790199,0.174327929,0.03870636,0.573357201
-99,14,0.230386442,0.877690184,0.994948173,0.581586934,0.787956954,0.35859867
-98,-19,0.453623246,0.377256393,0.283753053,0.027156914,0.298605579,0.318669529
-98,-18,0.296035037,0.572952447,0.347662808,0.493032097,0.80279501,0.16158293
-98,-17,0.392164831,0.653583731,0.146224294,0.04131527,0.765692788,0.450994058
-98,-16,0.849642189,0.337272347,0.071270715,0.617020747,0.537167819,0.960422711
-98,-15,0.172094686,0.640947597,0.8985852,0.477720186,0.748572083,0.511653757
-98,-14,0.72029431,0.059463978,0.237865959,0.504183556,0.683277381,0.829955385
-98,-13,0.89380226,0.679514082,0.822570781,0.261303782,0.014509269,0.482981618
-98,-12,0.62985123,0.527720094,0.698395077,0.40334536,0.964663328,0.083694766
-98,-11,0.67496423,0.83857663,0.317622836,0.515161526,0.759800734,0.739354401
-98,-10,0.14188042,0.258870428,0.387093299,0.035741685,0.840389867,0.501401282
-98,-9,0.197150552,0.850101855,0.493217037,0.701759068,0.67119539,0.660027961
-98,-8,0.939711795,0.293772765,0.214965946,0.324100954,0.975432663,0.174515869
-98,-7,0.292738713,0.831214629,0.612558343,0.760044283,0.669824877,0.571158893
-98,-6,0.192074614,0.547016736,0.664584306,0.967360847,0.269035225,0.762315757
-98,-5,0.551471478,0.360125718,0.429932403,0.655303368,0.572342693,0.52641232
-98,-4,0.349892334,0.288121849,0.732749002,0.757856844,0.158508496,0.449320693
-98,-3,0.592101916,0.430589233,0.256729935,0.412194372,0.512493775,0.825275816
-98,-2,0.313676449,0.162051837,0.355517238,0.942420621,0.025431442,0.936253585
-98,-1,0.854765196,0.529655085,0.900474595,0.780734071,0.653913553,0.555929458
-98,0,0.97327265,0.727972426,0.081742292,0.228121763,0.140426095,0.805671695
-98,1,0.574967264,0.733701458,0.893956476,0.950518189,0.372878536,0.821289487
-98,2,0.763080295,0.130633883,0.469438113,0.040907165,0.027793271,0.39828908
-98,3,0.716728381,0.400584044,0.933288785,0.81918338,0.525943867,0.827186763
-98,4,0.257333608,0.065440906,0.202010516,0.826208444,0.621800231,0.285978933
-98,5,0.187226676,0.018988296,0.649797748,0.282997711,0.484450229,0.658423706
-98,6,0.510939104,0.330670111,0.785607257,0.95353087,0.122833711,0.217343083
-98,7,0.351063199,0.877582451,0.957349288,0.511651458,0.23109272,0.522506725
-98,8,0.701862926,0.327073447,0.995248602,0.58053508,0.230341354,0.654573748
-98,9,0.794184721,0.196322913,0.351198657,0.297051462,0.231762604,0.6337996
-98,10,0.93193493,0.467701261,0.739979103,0.03615101,0.256597402,0.167222406
-98,11,0.666854895,0.644255512,0.099497348,0.183500432,0.663311542,0.965195883
-98,12,0.963680353,0.241086433,0.480342477,0.109114431,0.534554091,0.787944695
-98,13,0.460225917,0.083575886,0.032413727,0.139439176,0.300808812,0.597064877
-98,14,0.681131047,0.79506367,0.59915832,0.2368485,0.221159969,0.951775127
-98,15,0.830444408,0.712056993,0.915034574,0.531875274,0.920302337,0.618333045
-98,16,0.680944452,0.638762261,0.90590833,0.496814077,0.181557378,0.785917923
-98,17,0.645461001,0.771391739,0.935251103,0.193177693,0.76003288,0.395477342
-98,18,0.156980978,0.89064977,0.634103144,0.734986252,0.240837056,0.128540674
-98,19,0.510619155,0.84639186,0.806002521,0.02266867,0.583511136,0.806686754
-97,-24,0.054338719,0.37676032,0.600766816,0.630964613,0.004808119,0.813316685
-97,-23,0.91525528,0.180483224,0.228733527,0.278313693,0.270673382,0.855920788
-97,-22,0.373342966,0.649111339,0.327260668,0.849346271,0.16454126,0.064659879
-97,-21,0.196629023,0.225589089,0.332421394,0.831208263,0.283799443,0.421856893
-97,-20,0.958714396,0.776039749,0.124130166,0.021682471,0.380572325,0.786283632
-97,-19,0.55538309,0.127029018,0.732182072,0.673154812,0.416370174,0.341384241
-97,-18,0.775690913,0.111830862,0.26591606,0.937519447,0.335538921,0.21673313
-97,-17,0.495837738,0.388201418,0.349010644,0.158159073,0.454769697,0.00864361
-97,-16,0.855510296,0.661395228,0.94652123,0.921576197,0.506962931,0.366766868
-97,-15,0.071218923,0.05641059,0.400099865,0.641564615,0.538930034,0.191281139
-97,-14,0.908663414,0.309228272,0.279502394,0.676284457,0.50396968,0.854015632
-97,-13,0.851402401,0.044280689,0.612858752,0.614714807,0.491195609,0.277056254
-97,-12,0.436880947,0.276796458,0.921640197,0.939083194,0.04766622,0.944586946
-97,-11,0.581503379,0.696467271,0.182698348,0.153574393,0.830179928,0.737546681
-97,-10,0.905051125,0.347636741,0.283074354,0.234021892,0.264038567,0.224601894
-97,-9,0.032654605,0.75116399,0.640580402,0.221895261,0.15804194,0.662714789
-97,-8,0.605206302,0.046291109,0.660606998,0.827930288,0.4387769,0.650731535
-97,-7,0.491126795,0.846707183,0.690466712,0.492462765,0.615045973,0.331407036
-97,-6,0.437314871,0.586038073,0.299985982,0.150982376,0.330556922,0.57032058
-97,-5,0.91360829,0.098272489,0.401258795,0.673150486,0.439429371,0.230214193
-97,-4,0.432891441,0.151310921,0.948486159,0.807259698,0.403956479,0.62966532
-97,-3,0.232550472,0.224070789,0.82174605,0.033668362,0.877326434,0.245601257
-97,-2,0.095761919,0.875277847,0.391141607,0.783576173,0.148179464,0.521102518
-97,-1,0.98135711,0.489949742,0.116537998,0.411236716,0.025769198,0.70087234
-97,0,0.170859002,0.447155199,0.086056587,0.265358022,0.486328804,0.325213904
-97,1,0.202027021,0.919147305,0.629869545,0.958206547,0.286852011,0.903724505
-97,2,0.876302356,0.789118997,0.014400968,0.073492621,0.648434698,0.823241177
-97,3,0.633623167,0.655954932,0.350555754,0.717360915,0.374436613,0.040990034
-97,4,0.366103844,0.20491486,0.238649684,0.118438308,0.845704514,0.213817583
-97,5,0.091903455,0.077439367,0.298020515,0.916376989,0.593990939,0.659987041
-97,6,0.746896882,0.708410335,0.021302121,0.281384685,0.906237426,0.037089995
-97,7,0.093432839,0.906811863,0.45112699,0.875958344,0.357790552,0.14089837
-97,8,0.348117796,0.182396331,0.496253582,0.14898776,0.33706426,0.731022586
-97,9,0.312218147,0.795658025,0.521424848,0.437032773,0.012330928,0.285233667
-97,10,0.808397544,0.08435106,0.504237077,0.741783207,0.736849445,0.203299657
-97,11,0.183501607,0.748710054,0.991787069,0.686128268,0.342824431,0.424492452
-97,12,0.939550696,0.252134927,0.736017187,0.365570847,0.018011083,0.971499487
-97,13,0.537818454,0.336910753,0.102878187,0.988703842,0.805702211,0.232599441
-97,14,0.77962033,0.013058871,0.961410912,0.034665667,0.413040252,0.058447911
-97,15,0.178730969,0.169806706,0.712676064,0.789168566,0.35334921,0.019747635
-97,16,0.124793538,0.827580076,0.668942061,0.560461248,0.53749124,0.581902403
-97,17,0.804377882,0.570116185,0.718861139,0.467764172,0.302016993,0.407032983
-97,18,0.826631716,0.440739041,0.204511417,0.813464268,0.809222372,0.731701369
-97,19,0.642064927,0.225339532,0.116119097,0.317707733,0.089101326,0.423404456
-97,20,0.223872533,0.177314978,0.67726127,0.086097363,0.73960354,0.459414717
-97,21,0.095642264,0.779705277,0.729841726,0.582866149,0.731371297,0.727618141
-97,22,0.789786323,0.483500728,0.93370646,0.461515901,0.162718592,0.425263542
-97,23,0.22502382,0.292294867,0.796875678,0.913829027,0.446766261,0.120802427
-97,24,0.639498997,0.941251509,0.275526154,0.83490594,0.746048646,0.711680186
-96,-28,0.464248367,0.29044725,0.51066016,0.603862457,0.651049893,0.634220474
-96,-27,0.265923503,0.813501447,0.84466379,0.71084279,0.735825122,0.082639197
-96,-26,0.960618103,0.543852688,0.66396857,0.336963079,0.105039275,0.394517646
-96,-25,0.20358047,0.274629185,0.167352747,0.574783402,0.136371057,0.402952467
-96,-24,0.035831938,0.803968018,0.517988951,0.688570228,0.87535492,0.658912481
-96,-23,0.2526671,0.165613927,0.311398768,0.143373095,0.23825144,0.871456475
-96,-22,0.952072328,0.647646184,0.898995998,0.013292154,0.20855038,0.169728447
-96,-21,0.209229638,0.828433979,0.980942533,0.16199257,0.720534174,0.662090161
-96,-20,0.688531797,0.834965385,0.470625239,0.04292873,0.508586791,0.63643297
-96,-19,0.080195616,0.097416847,0.428337421,0.856792179,0.967103037,0.917657334
-96,-18,0.872409912,0.925649951,0.173830731,0.931315862,0.958189721,0.828044821
-96,-17,0.023342787,0.542657849,0.184341513,0.670218834,0.758492059,0.069861168
-96,-16,0.644832434,0.15124615,0.070222079,0.183274504,0.368302753,0.536994552
-96,-15,0.604016387,0.250482139,0.072440896,0.36629321,0.867330442,0.552444178
-96,-14,0.188714531,0.430639229,0.998966196,0.817763241,0.190465096,0.876701935
-96,-13,0.603225635,0.283650371,0.236455839,0.102642985,0.538033574,0.112987526
-96,-12,0.504644798,0.755536759,0.657548299,0.046826219,0.235594927,0.907536544
-96,-11,0.483740604,0.797181462,0.976684263,0.661646657,0.859269836,0.005465419
-96,-10,0.96764504,0.842537727,0.15921363,0.335688198,0.3988215,0.646660498
-96,-9,0.585753309,0.907822141,0.355336077,0.642446915,0.43678119,0.987374918
-96,-8,0.066538428,0.122722974,0.999334015,0.041663113,0.83830057,0.420263845
-96,-7,0.380684376,0.33694016,0.593202217,0.34251189,0.545690042,0.173001156
-96,-6,0.378016377,0.554138532,0.855117881,0.998213274,0.443183192,0.670227503
-96,-5,0.213861978,0.424767596,0.581421248,0.776765643,0.275851501,0.783136638
-96,-4,0.147147579,0.81138736,0.212260761,0.290350674,0.810877954,0.549890266
-96,-3,0.745362824,0.569772281,0.189220374,0.392974041,0.164088451,0.355148337
-96,-2,0.851414227,0.825535664,0.150341301,0.223206403,0.516431033,0.948731873
-96,-1,0.988068139,0.91837763,0.475536656,0.967707754,0.957866594,0.150146575
-96,0,0.776128453,0.212755915,0.573664035,0.312805407,0.747204442,0.084554381
-96,1,0.561294669,0.74069603,0.17165498,0.45263811,0.714650964,0.184638491
-96,2,0.558548691,0.865708869,0.314391686,0.56981188,0.652845811,0.432460652
-96,3,0.795275554,0.157817386,0.925525756,0.233468901,0.316570406,0.829668799
-96,4,0.10993359,0.481574259,0.800347037,0.243119198,0.855526462,0.835255054
-96,5,0.572869219,0.088029332,0.986484547,0.380083728,0.825338139,0.665332571
-96,6,0.315278335,0.549536275,0.233031595,0.78545613,0.921037639,0.925794114
-96,7,0.621920236,0.337041841,0.186835852,0.524073003,0.287714034,0.095414562
-96,8,0.823118969,0.487273902,0.138494752,0.794893352,0.413128466,0.88594259
-96,9,0.278500969,0.647844899,0.332613624,0.482417877,0.431623797,0.684196401
-96,10,0.073480521,0.468691556,0.505722176,0.172624982,0.709691967,0.386195405
-96,11,0.294890841,0.481974245,0.362116355,0.813763146,0.324330896,0.797617926
-96,12,0.657115944,0.250496283,0.925721255,0.808884269,0.63579648,0.67939606
-96,13,0.568206961,0.908664747,0.620388625,0.11846936,0.682162853,0.550314559
-96,14,0.087487315,0.645770635,0.299312727,0.447289128,0.960542457,0.764539928
-96,15,0.77254094,0.737054933,0.906163011,0.77731551,0.642193869,0.726022976
-96,16,0.419345304,0.974692327,0.106346842,0.733702508,0.20254474,0.121704381
-96,17,0.241453954,0.332762701,0.052779018,0.525917704,0.53087375,0.029254135
-96,18,0.594172303,0.962173915,0.490164214,0.212742756,0.807621564,0.775482543
-96,19,0.034630364,0.967123271,0.988334448,0.018438478,0.157826618,0.191009656
-96,20,0.20047174,0.582085066,0.264230027,0.195337698,0.362998581,0.611100772
-96,21,0.539212491,0.178569103,0.907639413,0.060941592,0.825621252,0.929107806
-96,22,0.082244412,0.100370142,0.543381537,0.470183403,0.089069288,0.410657839
-96,23,0.211373498,0.947950874,0.851156603,0.857097167,0.91652115,0.024111836
-96,24,0.791121885,0.669676808,0.084460951,0.389166569,0.592544123,0.178009952
